#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
Russia_East_Arkhangelsk;East Arkhangel'sk;Est d'Arkhangelsk;Ost-Archangelsk;Wschodnie Archangielsk;Este de Arcángel;Est di Arcangelo;Östra Archangelsk;Východní Archangelsk;Keleti Arhangelszk;Oost-Archangelsk;Leste de Arcangel;Восточный Архангельск;Itä-Arhangel'sk;阿尔汉格尔斯克东部
Australia_Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;Katherine;Кэтрин;Katherine;凯瑟琳
Australia_Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;Darwin;Дарвин;Darwin;达尔文
Australia_Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Goldfields-Esperance;Голдфилдс-Эсперанс;Goldfields-Esperance;戈德菲尔兹-埃斯佩兰斯
Australia_Pilbara;Pilbara;Pilbara;Pilbara;Pilbara;Pilbara;Pilbara;Pilbara;Pilbara;Pilbara;Pilbara;Pilbara;Пилбара;Pilbara;皮尔巴拉
Australia_Christmas_islands;Christmas islands;Îles Christmas;Weihnachtsinseln;Wyspy Bożonarodzeniowe;Islas Christmas;Isole Christmas;Julöarna;Vánoční ostrovy;Karácsony-szigetek;Kersteilanden;Ilhas Christmas;Острова Рождества;Joulusaaret;圣诞岛
Australia_Norfolk_island;Norfolk island;Île Norfolk;Norfolkinsel;Wyspa Norfolk;Isla Norfolk;Isola Norfolk;Norfolkön;Norfolkský ostrov;Norfolk-sziget;Norfolkeiland;Ilha Norfolk;Остров Норфолк;Norfolkinsaari;诺福克岛
Australia_Keeling_Island;Keeling Island;Îles Cocos (Keeling);Kokosinseln (Keeling);Wyspy Kokosowe (Keeling);Islas Cocos (Keeling);Isole Cocos (Keeling);Keelingöarna;Kokosové ostrovy (Keeling);Kókusz-szigetek;Cocoseilanden;Ilhas Cocos (Keeling);Кокосовые (Килинг) острова;Keelingin saaret;科科斯（基林）群岛
Papua_New_Guinea_Papua_New_Guinean_Islands;Papua New Guinean Islands;Îles papoues-néo-guinéennes;Papua-neuguineische Inseln;Wyspy Papui-Nowej Gwinei;Islas de Papúa Nueva Guinea;Isole della Papua Nuova Guinea;Papua Nya Guineas öar;Ostrovy Papuy-Nové Guiney;Pápua Új-Guinea-szigetek;Papoea-Nieuw-Guineese eilanden;Ilhas da Papua Nova Guiné;Острова Папуа — Новой Гвинеи;Papua-Uuden-Guinean saaret;巴布亚新几内亚群岛
Papua_New_Guinea_Momase;Momase;Momase;Momase;Momase;Momase;Momase;Momase;Momase;Momase;Momase;Momase;Момасе;Momase;莫马塞
Papua_New_Guinea_Papua_New_Guinean_Highlands;Papua New Guinean Highlands;Hauts plateaux papous-néo-guinéens;Papua-neuguineisches Hochland;Wyżyny Papui-Nowej Gwinei;Altiplanicie de Papúa Nueva Guinea;Altopiani della Papua Nuova Guinea;Papua Nya Guineas högland;Vysokohory Papuy-Nové Guiney;Pápua Új-Guinea-fennsík;Hoogland van Papoea-Nieuw-Guinea;Planalto da Papua Nova Guiné;Нагорья Папуа — Новой Гвинеи;Papua-Uuden-Guinean ylängöt;巴布亚新几内亚高地
Papua_New_Guinea_Papua;Papua;Papouasie;Papua;Papua;Papúa;Papua;Papua;Papua;Pápua;Papoea;Papua;Папуа;Papua;巴布亚
France_New_Caledonia;New Caledonia;Nouvelle-Calédonie;Neukaledonien;Nowa Kaledonia;Nueva Caledonia;Nuova Caledonia;Nya Kaledonien;Nová Kaledonie;Új-Kaledónia;Nieuw-Caledonië;Nova Caledônia;Новая Каледония;Uusi-Kaledonia;新喀里多尼亚
Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;Вануату;Vanuatu;瓦努阿图
UK_Solomon_islands;Solomon islands;Îles Salomon;Salomonen;Wyspy Salomona;Islas Salomón;Isole Salomone;Salomonöarna;Šalamounovy ostrovy;Salamon-szigetek;Salomonseilanden;Ilhas Salomão;Соломоновы острова;Salomonsaaret;所罗门群岛
UK_Fiji;Fiji;Fidji;Fidschi;Fidżi;Fiyi;Figi;Fiji;Fidži;Fidzsi-szigetek;Fiji;Fiji;Фиджи;Fidži;斐济
UK_Tuvalu;Tuvalu;Tuvalu;Tuvalu;Tuvalu;Tuvalu;Tuvalu;Tuvalu;Tuvalu;Tuvalu;Tuvalu;Tuvalu;Тувалу;Tuvalu;图瓦卢
USA_Guam;Guam;Guam;Guam;Guam;Guam;Guam;Guam;Guam;Guam;Guam;Guam;Гуам;Guam;关岛
USA_Northern_Marina_Islands;Northern Mariana Islands;Îles Mariannes septentrionales;Nördliche Marianen;Mariany Północne;Islas Marianas Septentrionales;Isole Marianne Settentrionali;Nordmarianerna;Severní Mariany;Északi-Mariana-szigetek;Noordelijke Marianen;Ilhas Marianas do Norte;Северные Марианские острова;Pohjois-Mariaanit;北马里亚纳群岛
USA_Micronesia;Micronesia;Micronésie;Mikronesien;Mikronezja;Micronesia;Micronesia;Mikronesien;Mikronésie;Mikronézia;Micronesië;Micronésia;Микронезия;Mikronesia;密克罗尼西亚
USA_Marshall_Islands;Marshall Islands;Îles Marshall;Marshallinseln;Wyspy Marshalla;Islas Marshall;Isole Marshall;Marshallöarna;Marshallovy ostrovy;Marshall-szigetek;Marshalleilanden;Ilhas Marshall;Маршалловы острова;Marshallinsaaret;马绍尔群岛
USA_Wake_island;Wake island;Île Wake;Wake;Wyspa Wake;Isla Wake;Isola Wake;Wake Island;Ostrov Wake;Wake-sziget;Wake-eiland;Ilha Wake;Остров Уэйк;Wake;威克岛
USA_Midway;Midway;Midway;Midway;Midway;Midway;Midway;Midway;Midway;Midway;Midway;Midway;Мидуэй;Midway;中途岛
USA_American_Samoa;American Samoa;Samoa américaines;Amerikanisch-Samoa;Samoa Amerykańskie;Samoa Americana;Samoa Americane;Amerikanska Samoa;Americká Samoa;Amerikai Szamoa;Amerikaans-Samoa;Samoa Americana;Американское Самоа;Amerikan-Samoa;美属萨摩亚
Nauru_Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;Науру;Nauru;瑙鲁
Tonga_Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Tonga;Тонга;Tonga;汤加
France_Wallis_and_Futuna;Wallis and Futuna;Wallis-et-Futuna;Wallis und Futuna;Wallis i Futuna;Wallis y Futuna;Wallis e Futuna;Wallis och Futuna;Wallis a Futuna;Wallis és Futuna;Wallis en Futuna;Wallis e Futuna;Уоллис и Футуна;Wallis ja Futuna;瓦利斯和富图纳
New_Zealand_Niue;Niue;Niue;Niue;Niue;Niue;Niue;Niue;Niue;Niue;Niue;Niue;Ниуэ;Niue;纽埃
New_Zealand_Cook_Islands;Cook Islands;Îles Cook;Cookinseln;Wyspy Cooka;Islas Cook;Isole Cook;Cooköarna;Cookovy ostrovy;Cook-szigetek;Cookeilanden;Ilhas Cook;Острова Кука;Cookinsaaret;库克群岛
UK_Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;Кирибати;Kiribati;基里巴斯
USA_Minor_Outlying_islands;Minor Outlying islands;Îles mineures éloignées des États-Unis;Kleinere amerikanische Überseeinseln;Dalekie Wyspy Mniejsze Stanów Zjednoczonych;Islas Ultramarinas Menores de Estados Unidos;Isole minori esterne degli Stati Uniti;USA:s avlägsna öar;Menší odlehlé ostrovy USA;Amerikai külterületi szigetek;Kleine afgelegen eilanden van de VS;Ilhas Menores Distantes dos EUA;Малые удалённые острова США;Yhdysvaltain pienet erillissaaret;美国本土外小岛屿
France_French_Polynesia;French Polynesia;Polynésie française;Französisch-Polynesien;Francuska Polinezja;Polinesia Francesa;Polinesia Francese;Franska Polynesien;Francouzská Polynésie;Francia Polinézia;Frans-Polynesië;Polinésia Francesa;Французская Полинезия;Ranskan Polynesia;法属波利尼西亚
UK_Pitcairn_Islands;Pitcairn Islands;Îles Pitcairn;Pitcairninseln;Wyspy Pitcairn;Islas Pitcairn;Isole Pitcairn;Pitcairnöarna;Pitcairnovy ostrovy;Pitcairn-szigetek;Pitcairneilanden;Ilhas Pitcairn;Острова Питкэрн;Pitcairnsaaret;皮特凯恩群岛
Venezuela_Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Амазонас;Amazonas;亚马孙州
Venezuela_Bolivar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Боливар;Bolívar;玻利瓦尔州
Venezuela_Monagas;Monagas;Monagas;Monagas;Monagas;Monagas;Monagas;Monagas;Monagas;Monagas;Monagas;Monagas;Монагас;Monagas;莫纳加斯州
Venezuela_Guarico;Guárico;Guárico;Guárico;Guárico;Guárico;Guárico;Guárico;Guárico;Guárico;Guárico;Guárico;Гуарико;Guárico;瓜里科州
Venezuela_Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Миранда;Miranda;米兰达州
Venezuela_Apure;Apure;Apure;Apure;Apure;Apure;Apure;Apure;Apure;Apure;Apure;Apure;Апуре;Apure;阿普雷州
Venezuela_Zulia;Zulia;Zulia;Zulia;Zulia;Zulia;Zulia;Zulia;Zulia;Zulia;Zulia;Zulia;Сулия;Zulia;苏利亚州
Venezuela_Portuguesa;Portuguesa;Portuguesa;Portuguesa;Portuguesa;Portuguesa;Portuguesa;Portuguesa;Portuguesa;Portuguesa;Portuguesa;Portuguesa;Португеса;Portuguesa;波图格萨州
Venezuela_Falcon;Falcón;Falcón;Falcón;Falcón;Falcón;Falcón;Falcón;Falcón;Falcón;Falcón;Falcón;Фалькон;Falcón;法尔孔州
Guyana_West_Guyana;West Guyana;Guyane occidentale;West-Guyana;Zachodnia Gujana;Guyana Occidental;Guyana Occidentale;Västguyana;Západní Guyana;Nyugati Guyana;West-Guyana;Guiana Ocidental;Западная Гайана;Länsi-Guyana;圭亚那西部
Guyana_East_Guyana;East Guyana;Guyane orientale;Ost-Guyana;Wschodnia Gujana;Guyana Oriental;Guyana Orientale;Östguyana;Východní Guyana;Keleti Guyana;Oost-Guyana;Guiana Oriental;Восточная Гайана;Itä-Guyana;圭亚那东部
Suriname_Suriname_Coast;Suriname Coast;Côte du Suriname;Küste Surinames;Wybrzeże Surinamu;Costa de Surinam;Costa del Suriname;Surinames kust;Pobřeží Surinamu;Suriname partvidéke;Kust van Suriname;Costa do Suriname;Побережье Суринама;Surinamen rannikko;苏里南沿海
Suriname_Suriname_Jungle;Suriname Jungle;Jungle du Suriname;Dschungel Surinames;Dżungla Surinamu;Selva de Surinam;Giungla del Suriname;Surinames djungel;Džungle Surinamu;Suriname dzsungle;Oerwoud van Suriname;Selva do Suriname;Джунгли Суринама;Surinamen viidakko;苏里南丛林
Colombia_Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Amazonas;Амазонас;Amazonas;亚马孙省
Colombia_Meta;Meta;Meta;Meta;Meta;Meta;Meta;Meta;Meta;Meta;Meta;Meta;Мета;Meta;梅塔省
Colombia_Vichada;Vichada;Vichada;Vichada;Vichada;Vichada;Vichada;Vichada;Vichada;Vichada;Vichada;Vichada;Вичада;Vichada;比查达省
Colombia_Narino;Nariño;Nariño;Nariño;Nariño;Nariño;Nariño;Nariño;Nariño;Nariño;Nariño;Nariño;Нариньо;Nariño;纳里尼奥省
Colombia_Cauca;Cauca;Cauca;Cauca;Cauca;Cauca;Cauca;Cauca;Cauca;Cauca;Cauca;Cauca;Каука;Cauca;考卡省
Colombia_Tolima;Tolima;Tolima;Tolima;Tolima;Tolima;Tolima;Tolima;Tolima;Tolima;Tolima;Tolima;Толима;Tolima;托利马省
Colombia_Arauca;Arauca;Arauca;Arauca;Arauca;Arauca;Arauca;Arauca;Arauca;Arauca;Arauca;Arauca;Араука;Arauca;阿劳卡省
Colombia_Boyaca;Boyacá;Boyacá;Boyacá;Boyacá;Boyacá;Boyacá;Boyacá;Boyacá;Boyacá;Boyacá;Boyacá;Бояка;Boyacá;博亚卡省
Colombia_Santander;Santander;Santander;Santander;Santander;Santander;Santander;Santander;Santander;Santander;Santander;Santander;Сантандер;Santander;桑坦德省
Colombia_Cesar;Cesar;Cesar;Cesar;Cesar;Cesar;Cesar;Cesar;Cesar;Cesar;Cesar;Cesar;Сесар;Cesar;塞萨尔省
Colombia_Bolivar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Bolívar;Боливар;Bolívar;玻利瓦尔省
Colombia_Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;Антиокия;Antioquia;安蒂奥基亚省
Colombia_Choco;Chocó;Chocó;Chocó;Chocó;Chocó;Chocó;Chocó;Chocó;Chocó;Chocó;Chocó;Чоко;Chocó;乔科省
Peru_Piura;Piura;Piura;Piura;Piura;Piura;Piura;Piura;Piura;Piura;Piura;Piura;Пьюра;Piura;皮乌拉大区
Peru_Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Кахамарка;Cajamarca;卡哈马卡大区
Peru_San_Martin;San Martín;San Martín;San Martín;San Martín;San Martín;San Martín;San Martín;San Martín;San Martín;San Martín;San Martín;Сан-Мартин;San Martín;圣马丁大区
Peru_Loreto;Loreto;Loreto;Loreto;Loreto;Loreto;Loreto;Loreto;Loreto;Loreto;Loreto;Loreto;Лорето;Loreto;洛雷托大区
Peru_Ucayali;Ucayali;Ucayali;Ucayali;Ucayali;Ucayali;Ucayali;Ucayali;Ucayali;Ucayali;Ucayali;Ucayali;Укаяли;Ucayali;乌卡亚利大区
Peru_Huanuco;Huánuco;Huánuco;Huánuco;Huánuco;Huánuco;Huánuco;Huánuco;Huánuco;Huánuco;Huánuco;Huánuco;Уануко;Huánuco;瓦努科大区
Peru_Lima;Lima;Lima;Lima;Lima;Lima;Lima;Lima;Lima;Lima;Lima;Lima;Лима;Lima;利马大区
Peru_Junin;Junín;Junín;Junín;Junín;Junín;Junín;Junín;Junín;Junín;Junín;Junín;Хунин;Junín;胡宁大区
Peru_Cusco;Cusco;Cuzco;Cusco;Cusco;Cusco;Cusco;Cusco;Cusco;Cusco;Cusco;Cusco;Куско;Cusco;库斯科大区
Peru_Puno;Puno;Puno;Puno;Puno;Puno;Puno;Puno;Puno;Puno;Puno;Puno;Пуно;Puno;普诺大区
Peru_Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Арекипа;Arequipa;阿雷基帕大区
Peru_Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Аякучо;Ayacucho;阿亚库乔大区
Peru_Ica;Ica;Ica;Ica;Ica;Ica;Ica;Ica;Ica;Ica;Ica;Ica;Ика;Ica;伊卡大区
Ecuador_Coastal_Ecuador;Coastal Ecuador;Équateur côtier;Küsten-Ecuador;Wybrzeże Ekwadoru;Ecuador Costero;Ecuador Costiero;Kust-Ecuador;Pobřežní Ekvádor;Tengerparti Ecuador;Kust-Ecuador;Equador Costeiro;Прибрежный Эквадор;Rannikko-Ecuador;厄瓜多尔沿海
Ecuador_Central_Ecuador;Central Ecuador;Équateur central;Zentral-Ecuador;Środkowy Ekwador;Ecuador Central;Ecuador Centrale;Centrala Ecuador;Střední Ekvádor;Középső Ecuador;Centraal-Ecuador;Equador Central;Центральный Эквадор;Keski-Ecuador;厄瓜多尔中部
Bolivia_Pando;Pando;Pando;Pando;Pando;Pando;Pando;Pando;Pando;Pando;Pando;Pando;Пандо;Pando;潘多省
Bolivia_La_Paz;La Paz;La Paz;La Paz;La Paz;La Paz;La Paz;La Paz;La Paz;La Paz;La Paz;La Paz;Ла-Пас;La Paz;拉巴斯省
Bolivia_Oruro;Oruro;Oruro;Oruro;Oruro;Oruro;Oruro;Oruro;Oruro;Oruro;Oruro;Oruro;Оруро;Oruro;奥鲁罗省
Bolivia_Potosi;Potosí;Potosí;Potosí;Potosí;Potosí;Potosí;Potosí;Potosí;Potosí;Potosí;Potosí;Потоси;Potosí;波托西省
Bolivia_Tarija;Tarija;Tarija;Tarija;Tarija;Tarija;Tarija;Tarija;Tarija;Tarija;Tarija;Tarija;Тариха;Tarija;塔里哈省
Bolivia_West_Beni;West Beni;Beni occidental;West-Beni;Zachodni Beni;Beni Occidental;Beni Occidentale;Väst Beni;Západní Beni;Nyugati Beni;West-Beni;Beni Ocidental;Западный Бени;Länsi-Beni;贝尼省西部
Bolivia_East_Beni;East Beni;Beni oriental;Ost-Beni;Wschodni Beni;Beni Oriental;Beni Orientale;Öst Beni;Východní Beni;Keleti Beni;Oost-Beni;Beni Oriental;Восточный Бени;Itä-Beni;贝尼省东部
Bolivia_North_Gran_Chiquitania;North Gran Chiquitania;Gran Chiquitania septentrionale;Nord-Gran Chiquitania;Północna Gran Chiquitania;Gran Chiquitania Septentrional;Gran Chiquitania Settentrionale;Norra Gran Chiquitania;Severní Gran Chiquitania;Északi Gran Chiquitania;Noord-Gran Chiquitania;Gran Chiquitania do Norte;Северная Гран-Чикитания;Pohjois-Gran Chiquitania;大奇基塔尼亚北部
Bolivia_South_Gran_Chiquitania;South Gran Chiquitania;Gran Chiquitania méridionale;Süd-Gran Chiquitania;Południowa Gran Chiquitania;Gran Chiquitania Meridional;Gran Chiquitania Meridionale;Södra Gran Chiquitania;Jižní Gran Chiquitania;Déli Gran Chiquitania;Zuid-Gran Chiquitania;Gran Chiquitania do Sul;Южная Гран-Чикитания;Etelä-Gran Chiquitania;大奇基塔尼亚南部
Bolivia_Central_Santa_Cruz;Central Santa Cruz;Santa Cruz central;Zentral-Santa Cruz;Środkowe Santa Cruz;Santa Cruz Central;Santa Cruz Centrale;Centrala Santa Cruz;Střední Santa Cruz;Középső Santa Cruz;Centraal-Santa Cruz;Santa Cruz Central;Центральная Санта-Крус;Keski-Santa Cruz;圣克鲁斯中部
Bolivia_Bolivian_Cordillera;Bolivian Cordillera;Cordillère bolivienne;Bolivianische Kordillere;Kordyliery Boliwijskie;Cordillera Boliviana;Cordigliera Boliviana;Bolivianska kordillären;Bolivijské Kordillery;Bolíviai-kordillerek;Boliviaanse Cordillera;Cordilheira Boliviana;Боливийская Кордильера;Bolivian kordilliera;玻利维亚科迪勒拉
Bolivia_Chuquisaca;Chuquisaca;Chuquisaca;Chuquisaca;Chuquisaca;Chuquisaca;Chuquisaca;Chuquisaca;Chuquisaca;Chuquisaca;Chuquisaca;Chuquisaca;Чукисака;Chuquisaca;丘基萨卡省
Bolivia_Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Кочабамба;Cochabamba;科恰班巴省
Paraguay_Alto_Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguay;Alto Paraguai;Альто-Парагвай;Alto Paraguay;上巴拉圭省
Paraguay_Concepcion;Concepción;Concepción;Concepción;Concepción;Concepción;Concepción;Concepción;Concepción;Concepción;Concepción;Conceição;Консепсьон;Concepción;康塞普西翁省
Paraguay_Alto_Parana;Alto Paraná;Alto Paraná;Alto Paraná;Alto Paraná;Alto Paraná;Alto Paraná;Alto Paraná;Alto Paraná;Alto Paraná;Alto Paraná;Alto Paraná;Альто-Парана;Alto Paraná;上巴拉那省
Paraguay_Asuncion;Asunción;Asunción;Asunción;Asunción;Asunción;Asunción;Asunción;Asunción;Asunción;Asunción;Asunción;Асунсьон;Asunción;亚松森
Uruguay_Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;Montevidéu;Монтевидео;Montevideo;蒙得维的亚
Uruguay_Maldonado;Maldonado;Maldonado;Maldonado;Maldonado;Maldonado;Maldonado;Maldonado;Maldonado;Maldonado;Maldonado;Maldonado;Мальдонадо;Maldonado;马尔多纳多
Chile_Tarapaca;Tarapacá;Tarapacá;Tarapacá;Tarapacá;Tarapacá;Tarapacá;Tarapacá;Tarapacá;Tarapacá;Tarapacá;Tarapacá;Тарапака;Tarapacá;塔拉帕卡大区
Chile_Atacama;Atacama;Atacama;Atacama;Atacama;Atacama;Atacama;Atacama;Atacama;Atacama;Atacama;Atacama;Атакама;Atacama;阿塔卡马大区
Chile_Santiago;Santiago;Santiago;Santiago;Santiago;Santiago;Santiago;Santiago;Santiago;Santiago;Santiago;Santiago;Сантьяго;Santiago;圣地亚哥首都大区
Chile_Araucania;Araucanía;Araucanía;Araucanía;Araukania;Araucanía;Araucanía;Araucanía;Araukánie;Araukanía;Araucanía;Araucanía;Араукания;Araucanía;阿劳卡尼亚大区
Chile_Magallanes;Magallanes;Magallanes;Magallanes;Magallanes;Magallanes;Magallanes;Magallanes;Magallanes;Magallanes;Magallanes;Magalhães;Магальянес;Magallanes;麦哲伦-智利南极大区
Chile_Easter_Islands;Easter Islands;Îles de Pâques;Osterinseln;Wyspa Wielkanocna;Isla de Pascua;Isola di Pasqua;Påskön;Velikonoční ostrov;Húsvét-sziget;Paaseiland;Ilha de Páscoa;Остров Пасхи;Pääsiäissaari;复活节岛
Argentina_Buenos_Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Буэнос-Айрес;Buenos Aires;布宜诺斯艾利斯省
Argentina_Catamarca;Catamarca;Catamarca;Catamarca;Catamarca;Catamarca;Catamarca;Catamarca;Catamarca;Catamarca;Catamarca;Catamarca;Катамарка;Catamarca;卡塔马卡省
Argentina_Chaco;Chaco;Chaco;Chaco;Chaco;Chaco;Chaco;Chaco;Chaco;Chaco;Chaco;Chaco;Чако;Chaco;查科省
Argentina_Chubut;Chubut;Chubut;Chubut;Chubut;Chubut;Chubut;Chubut;Chubut;Chubut;Chubut;Chubut;Чубут;Chubut;丘布特省
Argentina_Cordoba;Córdoba;Córdoba;Córdoba;Córdoba;Córdoba;Córdoba;Córdoba;Córdoba;Córdoba;Córdoba;Córdoba;Кордова;Córdoba;科尔多瓦省
Argentina_Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;Корриентес;Corrientes;科连特斯省
Argentina_Entre_Rios;Entre Ríos;Entre Ríos;Entre Ríos;Entre Ríos;Entre Ríos;Entre Ríos;Entre Ríos;Entre Ríos;Entre Ríos;Entre Ríos;Entre Ríos;Энтре-Риос;Entre Ríos;恩特雷里奥斯省
Argentina_Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Formosa;Формоса;Formosa;福尔摩沙省
Argentina_Jujuy;Jujuy;Jujuy;Jujuy;Jujuy;Jujuy;Jujuy;Jujuy;Jujuy;Jujuy;Jujuy;Jujuy;Хухуй;Jujuy;胡胡伊省
Argentina_La_Pampa;La Pampa;La Pampa;La Pampa;La Pampa;La Pampa;La Pampa;La Pampa;La Pampa;La Pampa;La Pampa;La Pampa;Ла-Пампа;La Pampa;拉潘帕省
Argentina_La_Rioja;La Rioja;La Rioja;La Rioja;La Rioja;La Rioja;La Rioja;La Rioja;La Rioja;La Rioja;La Rioja;La Rioja;Ла-Риоха;La Rioja;拉里奥哈省
Argentina_Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;Мендоса;Mendoza;门多萨省
Argentina_Misiones;Misiones;Misiones;Misiones;Misiones;Misiones;Misiones;Misiones;Misiones;Misiones;Misiones;Misiones;Мисьонес;Misiones;米西奥内斯省
Argentina_Neuquen;Neuquén;Neuquén;Neuquén;Neuquén;Neuquén;Neuquén;Neuquén;Neuquén;Neuquén;Neuquén;Neuquén;Неукен;Neuquén;内乌肯省
Argentina_Rio_Negro;Río Negro;Río Negro;Río Negro;Río Negro;Río Negro;Río Negro;Río Negro;Río Negro;Río Negro;Río Negro;Rio Negro;Рио-Негро;Río Negro;内格罗河省
Argentina_Salta;Salta;Salta;Salta;Salta;Salta;Salta;Salta;Salta;Salta;Salta;Salta;Сальта;Salta;萨尔塔省
Argentina_San_Juan;San Juan;San Juan;San Juan;San Juan;San Juan;San Juan;San Juan;San Juan;San Juan;San Juan;San Juan;Сан-Хуан;San Juan;圣胡安省
Argentina_San_Luis;San Luis;San Luis;San Luis;San Luis;San Luis;San Luis;San Luis;San Luis;San Luis;San Luis;San Luis;Сан-Луис;San Luis;圣路易斯省
Argentina_Santa_Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Santa Cruz;Санта-Крус;Santa Cruz;圣克鲁斯省
Argentina_Santa_Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fé;Санта-Фе;Santa Fe;圣菲省
Argentina_Santiago_del_Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Santiago del Estero;Сантьяго-дель-Эстеро;Santiago del Estero;圣地亚哥-德尔埃斯特罗省
Argentina_Tierra_del_Fuego;Tierra del Fuego;Terre de Feu;Feuerland;Ognista Ziemia;Tierra del Fuego;Terra del Fuoco;Eldlandet;Ohňová země;Tűzföld;Vuurland;Terra do Fogo;Огненная Земля;Tulenmaa;火地岛省
Argentina_Tucuman;Tucumán;Tucumán;Tucumán;Tucumán;Tucumán;Tucumán;Tucumán;Tucumán;Tucumán;Tucumán;Tucumã;Тукуман;Tucumán;图库曼省
Brazil_Maranhao_do_Norte;Maranhao do Norte;Maranhão do Norte;Nord-Maranhão;Maranhão Północne;Maranhão del Norte;Maranhão Settentrionale;Norra Maranhão;Severní Maranhão;Északi Maranhão;Noord-Maranhão;Maranhão do Norte;Северный Мараньян;Pohjois-Maranhão;马拉尼昂州北部
Brazil_Maranhao_do_Sul;Maranhao do Sul;Maranhão do Sul;Süd-Maranhão;Maranhão Południowe;Maranhão del Sur;Maranhão Meridionale;Södra Maranhão;Jižní Maranhão;Déli Maranhão;Zuid-Maranhão;Maranhão do Sul;Южный Мараньян;Etelä-Maranhão;马拉尼昂州南部
